@ES,11200,INDEXES
@NQ,16200,INDEXES
@YM,9200,INDEXS
@AD,1500,CURRENCY
@EC,2300,CURRENCY
@BP,2000,CURRENCY
@S,3000,AGRICOLTURAL
@W,3000,AGRICOLTURAL
@C,1700,AGRICOLTURAL
@GC,8300,METALS
@HG,4400,METALS
@CL,6300,ENERGY
@VX,15000,VOLATILITY
